Suburb,Rooms,Type,Price,Date,Bedroom2,Bathroom,Car,Landsize,Propertycount
Airport West,4,h,773000,9/17/16,5,3,4,531,3464
Airport West,3,h,715000,9/17/16,,,,,3464
Airport West,3,h,810000,3/18/17,3,3,2,555,3464
Airport West,3,h,715000,3/18/17,3,2,2,422,3464
Airport West,3,h,790000,3/18/17,3,1,3,614,3464
Airport West,2,t,460000,6/18/16,,,,,3464
Airport West,3,t,540000,6/18/16,2,2,1,161,3464
Airport West,3,t,825000,11/19/16,3,2,1,293,3464
Airport West,3,h,685000,5/22/16,3,1,1,579,3464
Airport West,3,u,445000,5/22/16,,,,,3464
Airport West,3,h,805000,8/22/16,3,1,1,623,3464
Airport West,2,u,510000,8/22/16,2,1,1,141,3464
Airport West,3,h,612000,8/22/16,3,2,1,212,3464
Airport West,3,h,662000,4/23/16,3,1,2,612,3464
Airport West,4,h,978000,9/24/16,4,3,2,532,3464
Airport West,3,h,720000,2/25/17,3,1,1,585,3464
Airport West,2,u,474000,7/26/16,,,,,3464
Airport West,2,t,490000,7/26/16,,,,,3464
Airport West,3,h,405000,6/27/16,,,,,3464
Airport West,3,t,715000,11/27/16,,,,,3464
Airport West,3,u,671500,11/27/16,,,,,3464
Airport West,4,h,765000,11/27/16,4,1,2,509,3464
Airport West,4,h,900000,11/27/16,4,2,3,628,3464
Airport West,3,u,820000,8/28/16,,,,,3464
Airport West,3,u,650000,7/30/16,,,,,3464
Airport West,3,t,552000,7/30/16,,,,,3464
Albert Park,2,h,1275000,9/3/16,2,1,0,120,3280
Albert Park,2,h,1455000,9/3/16,2,1,0,159,3280
Albert Park,3,h,2850000,3/4/17,3,2,0,211,3280
Albert Park,3,h,1850000,3/4/17,3,2,0,128,3280
Albert Park,2,h,1436000,3/4/17,2,1,0,130,3280
Albert Park,2,h,1110000,8/6/16,1,1,0,147,3280
Albert Park,2,h,1550000,5/7/16,2,1,1,167,3280
Albert Park,4,h,2300000,5/7/16,4,2,1,153,3280
Albert Park,3,t,1550000,11/7/16,3,2,2,718,3280
Albert Park,3,h,1800000,11/7/16,3,2,1,132,3280
Albert Park,3,h,2485000,10/8/16,,,,,3280
Albert Park,2,h,2120000,9/10/16,2,1,1,199,3280
Albert Park,3,h,1800000,9/10/16,3,1,1,253,3280
Albert Park,3,h,1800000,9/10/16,3,2,1,90,3280
Albert Park,2,h,1810000,12/10/16,2,1,0,240,3280
Albert Park,3,h,2615000,12/10/16,3,2,1,177,3280
Albert Park,5,h,2100000,12/10/16,5,2,1,237,3280
Albert Park,3,h,1300000,12/10/16,3,1,0,129,3280
Albert Park,3,h,1370000,6/12/16,3,2,2,0,3280
Albert Park,2,h,1000000,11/12/16,2,1,0,288,3280
Albert Park,3,h,2575000,10/15/16,3,2,1,228,3280
Albert Park,2,h,1322500,10/15/16,2,1,0,149,3280
Albert Park,2,h,1562500,10/15/16,2,1,0,141,3280
Albert Park,3,h,2000000,4/16/16,3,2,1,211,3280
Albert Park,3,h,1900000,3/18/17,3,1,0,209,3280
Albert Park,3,h,3010000,3/18/17,3,2,0,147,3280
Albert Park,4,h,2800000,6/18/16,4,3,1,327,3280
Albert Park,2,u,647000,5/22/16,2,1,1,0,3280
Albert Park,3,h,2100000,4/23/16,2,1,1,120,3280
Albert Park,3,h,2000000,9/24/16,3,1,1,238,3280
Albert Park,1,u,442500,2/25/17,1,1,0,0,3280
Albert Park,4,h,4735000,2/25/17,4,2,1,330,3280
Albert Park,2,h,1340000,2/25/17,2,1,0,136,3280
Albert Park,3,h,1801000,2/25/17,3,1,1,202,3280
Albert Park,3,h,1532000,7/26/16,3,3,1,0,3280
Albert Park,3,h,3755000,7/26/16,3,2,2,325,3280
Albert Park,4,h,2140000,6/27/16,3,2,1,183,3280
Albert Park,2,u,1810000,6/27/16,,,,,3280
Albert Park,2,h,1750000,11/27/16,2,1,1,162,3280
Albert Park,2,h,980000,5/28/16,2,1,0,79,3280
Albert Park,3,h,2030000,8/28/16,3,2,0,152,3280
Albert Park,3,h,1740000,8/28/16,3,2,2,147,3280
Albert Park,3,h,2800000,7/30/16,3,3,1,0,3280
Albert Park,1,h,985000,7/30/16,1,1,0,81,3280
Alphington,4,h,2000000,9/3/16,3,2,4,853,2211
Alphington,3,h,1110000,9/3/16,3,2,2,208,2211
Alphington,3,h,1492000,3/4/17,3,2,2,411,2211
Alphington,2,u,480000,5/7/16,,,,,2211
Alphington,3,t,1304000,10/8/16,,,,,2211
Alphington,4,h,1717500,10/8/16,4,2,1,599,2211
Alphington,5,h,2840000,6/12/16,5,4,4,809,2211
Alphington,2,u,525500,11/12/16,2,1,1,88,2211
Alphington,2,t,805000,11/12/16,2,2,3,155,2211
Alphington,2,u,465000,11/12/16,2,1,1,0,2211
Alphington,3,h,1480000,8/13/16,,,,,2211
Alphington,3,h,2000000,10/15/16,3,3,2,686,2211
Alphington,3,h,1540000,4/16/16,3,1,2,592,2211
Alphington,2,u,590000,9/17/16,,,,,2211
Alphington,2,u,820000,3/18/17,2,1,1,183,2211
Alphington,4,h,1830000,11/19/16,4,2,2,606,2211
Alphington,4,h,2100000,11/19/16,4,2,2,575,2211
Alphington,3,h,865000,5/22/16,3,1,1,180,2211
Alphington,2,u,390000,5/22/16,2,1,1,0,2211
Alphington,2,t,650000,9/24/16,0,1,0,0,2211
Alphington,2,u,512000,2/25/17,2,1,1,0,2211
Alphington,3,h,1361000,2/25/17,,,,,2211
Alphington,3,h,1310000,7/26/16,,,,,2211
Alphington,3,h,570000,6/27/16,,,,,2211
Alphington,3,h,1165000,6/27/16,3,1,2,979,2211
Alphington,2,u,530000,11/27/16,,,,,2211
Alphington,4,h,1900000,11/27/16,4,2,2,556,2211
Alphington,3,h,1485000,8/28/16,3,0,0,597,2211
Alphington,4,h,1950000,7/30/16,4,2,3,589,2211
Altona,3,h,520000,9/3/16,3,2,1,352,5301
Altona,5,h,1525000,12/3/16,5,3,3,729,5301
Altona,2,t,720000,2/4/16,2,1,2,292,5301
Altona,3,h,1120000,3/4/17,3,1,2,506,5301
Altona,4,h,780000,6/4/16,4,1,4,655,5301
Altona,4,h,1780000,6/4/16,4,3,6,1057,5301
Altona,3,u,630000,8/6/16,2,1,2,311,5301
Altona,2,u,406000,8/6/16,2,1,1,65,5301
Altona,3,h,660000,5/7/16,3,1,1,602,5301
Altona,3,h,683500,11/7/16,3,1,1,530,5301
Altona,2,u,540000,10/8/16,,,,,5301
Altona,2,u,580000,10/8/16,2,1,1,225,5301
Altona,3,h,1335000,10/8/16,3,1,4,777,5301
Altona,3,t,800000,10/8/16,3,2,2,280,5301
Altona,2,u,510000,9/10/16,2,1,1,127,5301
Altona,4,h,1070000,9/10/16,4,2,2,695,5301
Altona,2,u,425000,9/10/16,2,1,2,115,5301
Altona,3,u,605000,12/10/16,3,2,2,230,5301
Altona,3,t,705000,2/11/17,3,2,2,197,5301
Altona,2,u,391000,2/11/17,2,1,1,0,5301
Altona,2,u,440000,2/11/17,2,1,1,0,5301
Altona,4,h,845000,2/11/17,4,1,2,745,5301
Altona,3,h,766000,3/11/17,,,,,5301
Altona,3,t,743000,11/12/16,3,2,2,211,5301
Altona,3,t,650000,11/12/16,,,,,5301
Altona,3,u,730000,8/13/16,3,2,1,69,5301
Altona,3,t,916500,8/13/16,,,,,5301
Altona,3,h,635000,5/14/16,3,1,4,625,5301
Altona,2,u,620000,5/14/16,2,1,1,168,5301
Altona,2,u,447000,10/15/16,2,1,1,137,5301
Altona,3,u,730000,4/16/16,3,2,1,70,5301
Altona,3,h,678000,4/16/16,3,1,2,606,5301
Altona,2,u,580000,7/16/16,2,2,1,175,5301
Altona,3,h,712000,9/17/16,3,1,2,363,5301
Altona,3,h,840000,3/18/17,3,2,2,534,5301
Altona,3,h,980000,11/19/16,3,1,2,724,5301
Altona,4,h,1000000,11/19/16,,,,,5301
Altona,3,t,605100,5/22/16,3,2,0,265,5301
Altona,3,h,880000,8/22/16,3,3,1,577,5301
Altona,3,u,577000,4/23/16,3,2,1,205,5301
Altona,4,h,1030000,2/25/17,4,1,0,797,5301
Altona,3,u,605000,2/25/17,3,1,2,181,5301
Altona,3,h,685000,2/25/17,,,,,5301
Altona,3,h,753000,6/27/16,3,2,2,529,5301
Altona,2,h,857000,11/27/16,2,2,1,675,5301
Altona,3,h,1500000,5/28/16,3,1,1,929,5301
Altona,3,u,730000,5/28/16,3,2,1,70,5301
Altona,3,h,900000,5/28/16,3,1,4,697,5301
Altona,3,h,740000,8/28/16,3,1,2,604,5301
Altona,4,h,931000,8/28/16,4,2,3,532,5301
Altona,2,h,535600,7/30/16,2,1,1,154,5301
Altona North,5,h,1085000,9/3/16,5,3,6,592,5132
Altona North,3,h,781000,9/3/16,3,1,2,533,5132
Altona North,4,h,857500,9/3/16,,,,,5132
Altona North,4,h,960000,3/4/17,,,,,5132
Altona North,3,h,750000,3/4/17,3,1,3,554,5132
Altona North,2,t,421000,3/4/17,2,1,1,77,5132
Altona North,3,h,1405000,3/4/17,3,1,3,655,5132
Altona North,3,h,683000,6/4/16,3,1,2,534,5132
Altona North,3,h,623000,6/4/16,3,1,3,540,5132
Altona North,3,h,720000,8/6/16,3,2,1,0,5132
Altona North,4,t,780000,5/7/16,,,,,5132
Altona North,3,u,720000,5/7/16,,,,,5132
Altona North,3,h,705000,5/7/16,,,,,5132
Altona North,3,h,588000,5/7/16,3,1,1,328,5132
Altona North,4,h,720000,5/7/16,,,,,5132
Altona North,3,h,710000,11/7/16,3,1,3,540,5132
Altona North,2,h,550000,11/7/16,,,,,5132
Altona North,3,u,640000,11/7/16,,,,,5132
Altona North,3,h,537500,11/7/16,,,,,5132
Altona North,4,h,875000,10/8/16,3,1,4,559,5132
Altona North,3,h,800000,10/8/16,,,,,5132
Altona North,3,t,713500,9/10/16,,,,,5132
Altona North,3,h,700000,12/10/16,3,1,3,554,5132
Altona North,2,h,551000,12/10/16,,,,,5132
Altona North,3,h,685000,12/10/16,,,,,5132
Altona North,2,t,640000,3/11/17,2,1,1,252,5132
Altona North,4,h,650000,6/12/16,4,1,4,558,5132
Altona North,3,h,925000,11/12/16,,,,,5132
Altona North,3,t,670000,5/14/16,,,,,5132
Altona North,3,h,680000,5/14/16,,,,,5132
Altona North,3,h,765000,5/14/16,,,,,5132
Altona North,3,h,675000,5/14/16,3,2,2,171,5132
Altona North,3,h,708000,10/15/16,3,1,2,585,5132
Altona North,3,t,656000,10/15/16,,,,,5132
Altona North,4,h,883000,10/15/16,,,,,5132
Altona North,4,h,965000,10/15/16,4,1,4,851,5132
Altona North,3,h,870000,10/15/16,,,,,5132
Altona North,3,h,681000,10/15/16,,,,,5132
Altona North,2,h,522500,7/16/16,,,,,5132
Altona North,5,h,972000,9/17/16,,,,,5132
Altona North,3,t,590000,6/18/16,,,,,5132
Altona North,2,h,450000,6/18/16,,,,,5132
Altona North,3,h,765000,6/18/16,,,,,5132
Altona North,3,h,750000,6/18/16,,,,,5132
Altona North,3,h,680000,11/19/16,3,1,3,551,5132
Altona North,2,t,510000,11/19/16,,,,,5132
Altona North,3,h,770000,11/19/16,3,1,3,602,5132
Altona North,3,h,923000,5/22/16,3,1,2,740,5132
Altona North,4,h,693000,5/22/16,4,2,4,315,5132
Altona North,3,h,620000,8/22/16,5,2,2,276,5132
Altona North,3,h,800000,8/22/16,,,,,5132
Altona North,3,h,728500,8/22/16,3,1,1,531,5132
Altona North,3,h,931000,8/22/16,3,2,1,590,5132
Altona North,3,h,988000,8/22/16,3,1,4,715,5132
Altona North,3,h,590000,4/23/16,,,,,5132
Altona North,3,h,590000,4/23/16,3,1,2,561,5132
Altona North,2,h,610000,9/24/16,2,1,2,691,5132
Altona North,3,h,815000,2/25/17,3,2,3,555,5132
Altona North,4,h,970000,2/25/17,4,1,2,708,5132
Altona North,4,h,840000,7/26/16,,,,,5132
Altona North,3,h,840000,7/26/16,,,,,5132
Altona North,4,h,760000,6/27/16,4,1,3,668,5132
Altona North,3,h,852500,6/27/16,,,,,5132
Altona North,4,t,847500,6/27/16,4,3,1,252,5132
Altona North,4,h,1200000,11/27/16,4,1,4,633,5132
Altona North,3,h,630000,11/27/16,,,,,5132
Altona North,3,h,700000,11/27/16,3,1,1,557,5132
Altona North,3,h,625000,5/28/16,3,1,1,536,5132
Altona North,2,u,292000,8/28/16,2,1,1,153,5132
Altona North,3,t,640000,8/28/16,,,,,5132
Altona North,3,h,800000,7/30/16,,,,,5132
Armadale,2,u,599000,9/3/16,2,1,1,0,4836
Armadale,2,u,550000,12/3/16,2,1,0,861,4836
Armadale,3,u,995000,12/3/16,3,2,2,0,4836
Armadale,3,t,1205000,12/3/16,3,2,2,101,4836
Armadale,3,h,2675000,12/3/16,,,,,4836
Armadale,3,h,1939000,12/3/16,3,2,2,296,4836
Armadale,1,u,421500,12/3/16,1,1,0,0,4836
Armadale,2,u,585000,12/3/16,,,,,4836
Armadale,3,h,2050000,3/4/17,,,,,4836
Armadale,3,h,1870000,3/4/17,3,1,1,217,4836
Armadale,2,u,678000,3/4/17,2,1,2,0,4836
Armadale,3,t,1918000,3/4/17,3,2,2,0,4836
Armadale,2,u,660000,3/4/17,2,1,1,0,4836
Armadale,3,h,2050000,3/4/17,3,2,1,205,4836
Armadale,2,u,700000,6/4/16,2,1,2,0,4836
Armadale,2,u,3625000,6/4/16,3,2,2,0,4836
Armadale,4,h,3000000,6/4/16,4,2,2,1581,4836
Armadale,2,h,1930000,8/6/16,,,,,4836
Armadale,5,h,1525000,5/7/16,8,2,2,693,4836
Armadale,3,u,735000,5/7/16,3,2,1,2113,4836
Armadale,2,u,825000,5/7/16,2,1,1,0,4836
Armadale,3,t,1586000,5/7/16,2,2,2,246,4836
Armadale,2,u,645000,10/8/16,3,1,1,0,4836
Armadale,1,h,1435000,10/8/16,2,2,1,144,4836
Armadale,1,u,280000,9/10/16,1,1,1,0,4836
Armadale,1,u,400000,12/10/16,1,1,1,0,4836
Armadale,2,h,1780000,12/10/16,2,2,2,0,4836
Armadale,2,u,592500,12/10/16,2,1,1,0,4836
Armadale,2,h,1210000,11/12/16,2,1,0,249,4836
Armadale,4,h,2801000,11/12/16,4,2,2,624,4836
Armadale,1,u,390000,5/14/16,1,1,0,881,4836
Armadale,3,h,1800000,10/15/16,3,2,2,405,4836
Armadale,4,h,2200000,10/15/16,4,1,2,495,4836
Armadale,1,u,324000,4/16/16,1,1,1,0,4836
Armadale,6,h,5525000,9/17/16,5,3,4,1491,4836
Armadale,2,h,1125000,9/17/16,3,1,2,169,4836
Armadale,3,h,2250000,9/17/16,3,3,1,301,4836
Armadale,3,h,2360000,3/18/17,3,2,0,336,4836
Armadale,2,h,1900000,3/18/17,2,2,0,207,4836
Armadale,1,u,440000,3/18/17,1,1,1,0,4836
Armadale,2,u,490000,6/18/16,2,1,1,0,4836
Armadale,3,h,2365000,6/18/16,3,2,1,316,4836
Armadale,3,h,1300000,6/18/16,2,1,2,212,4836
Armadale,3,u,732000,6/18/16,3,2,2,0,4836
Armadale,2,u,704000,11/19/16,2,1,1,0,4836
Armadale,2,u,620000,11/19/16,3,1,1,0,4836
Armadale,3,h,1900000,5/22/16,3,1,2,328,4836
Armadale,1,u,315000,8/22/16,1,1,1,0,4836
Armadale,3,h,1992000,4/23/16,,,,,4836
Armadale,1,u,450000,9/24/16,1,1,1,0,4836
Armadale,2,u,710000,2/25/17,2,1,1,2471,4836
Armadale,2,u,872000,2/25/17,2,1,1,1194,4836
Armadale,2,u,598000,2/25/17,2,1,1,0,4836
Armadale,3,h,1285000,2/25/17,3,1,2,186,4836
Armadale,4,h,3660000,2/25/17,4,3,2,421,4836
Armadale,2,u,520000,6/27/16,1,1,1,0,4836
Armadale,4,h,2760000,6/27/16,,,,,4836
Armadale,2,u,690000,11/27/16,,,,,4836
Armadale,4,h,3625000,11/27/16,4,1,2,709,4836
Armadale,4,h,4200000,11/27/16,4,3,3,563,4836
Armadale,3,t,1101000,11/27/16,3,1,2,103,4836
Armadale,3,h,3512500,11/27/16,3,2,2,617,4836
Armadale,4,h,2000000,5/28/16,4,3,4,544,4836
Armadale,3,u,869000,5/28/16,2,1,1,0,4836
Armadale,2,u,577000,8/28/16,,,,,4836
Armadale,3,h,2865000,8/28/16,,,,,4836
Armadale,5,h,2810000,8/28/16,5,2,2,617,4836
Armadale,2,u,565000,8/28/16,3,1,1,0,4836
Armadale,1,u,567000,8/28/16,1,1,1,0,4836
Armadale,2,u,546000,7/30/16,2,0,0,0,4836
Armadale,2,u,471500,7/30/16,2,1,1,0,4836
Ascot Vale,2,u,455000,9/3/16,3,1,2,0,6567
Ascot Vale,3,h,940000,12/3/16,3,1,2,298,6567
Ascot Vale,2,u,467000,12/3/16,2,1,1,0,6567
Ascot Vale,3,h,895000,2/4/16,,,,,6567
Ascot Vale,3,h,1380000,3/4/17,3,2,2,277,6567
Ascot Vale,2,u,490000,3/4/17,2,1,1,423,6567
Ascot Vale,4,h,1850000,3/4/17,4,3,1,478,6567
Ascot Vale,3,h,1284000,3/4/17,3,1,2,623,6567
Ascot Vale,3,h,971000,6/4/16,3,2,2,285,6567
Ascot Vale,2,h,710000,6/4/16,2,1,1,214,6567
Ascot Vale,6,h,2425000,6/4/16,6,3,2,1014,6567
Ascot Vale,2,h,750000,6/4/16,2,1,1,226,6567
Ascot Vale,2,h,840000,6/4/16,,,,,6567
Ascot Vale,2,h,1053000,8/6/16,2,1,1,269,6567
Ascot Vale,3,h,1377000,8/6/16,3,1,1,417,6567
Ascot Vale,3,h,970000,5/7/16,3,1,2,350,6567
Ascot Vale,2,h,940000,5/7/16,2,1,1,330,6567
Ascot Vale,2,h,751000,5/7/16,2,1,1,118,6567
Ascot Vale,2,h,950000,5/7/16,2,1,1,173,6567
Ascot Vale,2,u,685000,11/7/16,2,1,2,228,6567
Ascot Vale,3,h,1230000,10/8/16,4,1,2,594,6567
Ascot Vale,2,h,636500,10/8/16,2,1,1,0,6567
Ascot Vale,3,h,910000,10/8/16,3,1,0,317,6567
Ascot Vale,2,h,872500,10/8/16,,,,,6567
Ascot Vale,2,h,770000,9/10/16,2,1,1,226,6567
Ascot Vale,2,t,490000,9/10/16,,,,,6567
Ascot Vale,3,h,960000,12/10/16,3,2,2,229,6567
Ascot Vale,4,h,890000,12/10/16,4,1,1,300,6567
Ascot Vale,2,h,965000,12/10/16,2,1,1,170,6567
Ascot Vale,4,h,1200000,2/11/17,,,,,6567
Ascot Vale,3,h,1440000,2/11/17,3,1,1,487,6567
Ascot Vale,2,h,955000,3/11/17,2,1,0,255,6567
Ascot Vale,2,u,450000,11/12/16,2,1,1,0,6567
Ascot Vale,3,h,801000,11/12/16,3,1,2,431,6567
Ascot Vale,3,h,770000,11/12/16,,,,,6567
Ascot Vale,3,h,1000000,11/12/16,3,2,2,440,6567
Ascot Vale,3,h,1435000,11/12/16,3,2,2,532,6567
Ascot Vale,1,u,390000,11/12/16,1,1,1,0,6567
Ascot Vale,3,h,1425000,8/13/16,3,2,2,495,6567
Ascot Vale,3,h,925000,8/13/16,,,,,6567
Ascot Vale,4,h,1340000,5/14/16,3,2,2,683,6567
Ascot Vale,3,h,955000,5/14/16,3,1,1,263,6567
Ascot Vale,2,h,1075000,5/14/16,,,,,6567
Ascot Vale,4,h,1100000,10/15/16,4,2,5,559,6567
Ascot Vale,3,h,1255000,10/15/16,3,2,2,308,6567
Ascot Vale,4,h,1483000,10/15/16,,,,,6567
Ascot Vale,2,u,432000,10/15/16,2,1,1,0,6567
Ascot Vale,4,h,1640000,4/16/16,4,3,2,562,6567
Ascot Vale,6,h,1430000,4/16/16,4,2,1,461,6567
Ascot Vale,2,u,610000,4/16/16,2,1,1,301,6567
Ascot Vale,3,h,940000,4/16/16,3,3,1,491,6567
Ascot Vale,3,h,890000,7/16/16,3,1,1,242,6567
Ascot Vale,4,h,1505000,7/16/16,,,,,6567
Ascot Vale,3,h,1180000,9/17/16,3,2,2,617,6567
Ascot Vale,4,h,1480000,9/17/16,4,2,2,597,6567
Ascot Vale,2,h,1150000,3/18/17,2,1,1,387,6567
Ascot Vale,3,h,1350000,3/18/17,3,1,3,575,6567
Ascot Vale,5,h,1905000,3/18/17,5,2,2,521,6567
Ascot Vale,2,t,865000,3/18/17,2,2,1,146,6567
Ascot Vale,2,t,705000,6/18/16,2,2,1,113,6567
Ascot Vale,2,u,442000,6/18/16,2,1,1,0,6567
Ascot Vale,2,u,540000,11/19/16,2,2,1,0,6567
Ascot Vale,3,h,1037500,11/19/16,3,1,2,506,6567
Ascot Vale,3,t,1050000,11/19/16,3,2,2,318,6567
Ascot Vale,2,u,440000,11/19/16,2,1,1,0,6567
Ascot Vale,2,h,1010000,11/19/16,2,1,1,325,6567
Ascot Vale,4,h,1430000,5/22/16,4,2,0,418,6567
Ascot Vale,2,u,570000,5/22/16,2,1,1,0,6567
Ascot Vale,2,u,690000,5/22/16,2,1,1,0,6567
Ascot Vale,4,h,1070000,8/22/16,,,,,6567
Ascot Vale,3,h,1291000,4/23/16,3,1,2,414,6567
Ascot Vale,3,h,1130000,4/23/16,3,2,1,272,6567
Ascot Vale,3,h,1135000,9/24/16,3,1,1,296,6567
Ascot Vale,4,h,950000,9/24/16,4,2,1,298,6567
Ascot Vale,3,u,790000,9/24/16,3,2,1,0,6567
Ascot Vale,2,u,390000,2/25/17,2,1,1,1957,6567
Ascot Vale,4,h,1345000,2/25/17,4,1,1,552,6567
Ascot Vale,1,u,296000,2/25/17,,,,,6567
Ascot Vale,3,h,1381500,2/25/17,3,2,2,416,6567
Ascot Vale,3,h,940000,7/26/16,3,2,2,285,6567
Ascot Vale,3,h,995000,7/26/16,3,2,1,314,6567
Ascot Vale,3,h,1050000,7/26/16,3,1,3,536,6567
Ascot Vale,3,h,786000,7/26/16,3,2,1,576,6567
Ascot Vale,2,h,705000,6/27/16,2,1,3,252,6567
Ascot Vale,3,h,660000,6/27/16,,,,,6567
Ascot Vale,2,h,760000,6/27/16,2,1,1,124,6567
Ascot Vale,3,u,487500,6/27/16,3,1,3,0,6567
Ascot Vale,3,h,1125000,11/27/16,,,,,6567
Ascot Vale,3,t,1000000,11/27/16,3,2,2,200,6567
Ascot Vale,4,h,1110000,11/27/16,4,2,1,349,6567
Ascot Vale,4,h,1300000,11/27/16,4,1,4,664,6567
Ascot Vale,3,h,1060000,11/27/16,3,1,1,555,6567
