Suburbasd,Address,Pricesdasd,SellerG,,,,,,,Suburb,Prices
Airport West,71 Bowes Av,985000,Barry,,,,,,,Coburg North,794903.4091
Airport West,2/40 Earl St,700000,Brad,,,,,,,Collingwood,890973.6842
Airport West,2/112 Parer Rd,509500,Nelson,,,,,,,Coolaroo,455400
Airport West,180 Parer Rd,830000,Barry,,,,,,,Craigieburn,557050
Airport West,4/54 Hawker St,462500,Barry,,,,,,,Cranbourne,576401.6
Airport West,43 Hillside Gr,670000,Barry,,,,,,,Cranbourne East,440000
Airport West,174 Parer Rd,675000,Barry,,,,,,,Cranbourne North,585000
Airport West,138 Victory Rd,1042000,Nelson,,,,,,,Cremorne,960700
Airport West,75 King St,910000,McDonald,,,,,,,Croydon,887969.5652
Airport West,6 Kittyhawk St,773000,Brad,,,,,,,Croydon Hills,913583.3333
Airport West,7 McNamara Av,715000,Barry,,,,,,,Croydon North,855818.1818
Airport West,478 Fullarton Rd,810000,Barry,,,,,,,Croydon South,1018333.333
Airport West,144 Marshall Rd,715000,Rendina,,,,,,,Dallas,485050
Airport West,106 Parer Rd,790000,Nelson,,,,,,,Dandenong,587166.6667
Airport West,1/41 Hillside Gr,460000,Nelson,,,,,,,Dandenong North,635357.1429
Airport West,3/7 South Rd,540000,Nelson,,,,,,,Deepdene,1380000
Airport West,37 North St,825000,Barry,,,,,,,Deer Park,621760.8696
Airport West,10 Hilbert Rd,685000,Barry,,,,,,,Delahey,538944.4444
Airport West,7/42 York St,445000,Brad,,,,,,,Derrimut,732500
Airport West,110 Halsey Rd,805000,Barry,,,,,,,Diamond Creek,769400
Airport West,2/13 North St,510000,Nelson,,,,,,,Diggers Rest,482333.3333
Airport West,105a Victory Rd,612000,Nelson,,,,,,,Dingley Village,894666.6667
Airport West,117 Marshall Rd,662000,Brad,,,,,,,Docklands,800833.3333
Airport West,34 Moorna Dr,978000,Nelson,,,,,,,Doncaster,1225128.75
Airport West,33 North St,720000,Nelson,,,,,,,Doncaster East,1333431.343
Airport West,4/40 McNamara Av,474000,Barry,,,,,,,Donvale,1259675
Airport West,5/93 McNamara Av,490000,Frank,,,,,,,Doreen,564666.6667
Airport West,2/137 McNamara Av,405000,Ray,,,,,,,Doveton,490208.3333
Airport West,1/46 Bowes Av,715000,Barry,,,,,,,Eaglemont,1667689.655
Airport West,1/34 Elstone Av,671500,McDonald,,,,,,,East Melbourne,1286706.897
Airport West,49 Roberts Rd,765000,Prof.,,,,,,,Edithvale,953312.5
Airport West,85 Roberts Rd,900000,Harcourts,,,,,,,Elsternwick,1223673.333
Airport West,22a Walters Av,820000,Nelson,,,,,,,Eltham,884125
Airport West,1/145 Parer Rd,650000,Nelson,,,,,,,Eltham North,900767.8
Airport West,3/35 Walters Av,552000,Nelson,,,,,,,Elwood,947671.4679
Albert Park,105 Kerferd Rd,1275000,hockingstuart,,,,,,,Emerald,655000
Albert Park,85 Richardson St,1455000,Thomson,,,,,,,Endeavour Hills,674555.5556
Albert Park,112 Beaconsfield Pde,2850000,Buxton,,,,,,,Epping,566250
Albert Park,94 Graham St,1850000,Greg,,,,,,,Essendon,1047377.358
Albert Park,396 Montague St,1436000,RT,,,,,,,Essendon North,849578.125
Albert Park,75 Graham St,1110000,Marshall,,,,,,,Essendon West,1068844.828
Albert Park,54 Brooke St,1550000,Sotheby's,,,,,,,Eumemmerring,547500
Albert Park,104 Richardson St,2300000,Marshall,,,,,,,Fairfield,1069101.887
Albert Park,4a Mills St,1550000,Marshall,,,,,,,Fawkner,646177.9661
Albert Park,1 Moubray St,1800000,Greg,,,,,,,Ferntree Gully,809899.52
Albert Park,114 Victoria Av,2485000,Cayzer,,,,,,,Fitzroy,1269736.842
Albert Park,29 Faussett St,2120000,Greg,,,,,,,Fitzroy North,1252511.905
Albert Park,3 Herbert St,1800000,Cayzer,,,,,,,Flemington,834810.8108
Albert Park,24 Kerferd Pl,1800000,Marshall,,,,,,,Footscray,694981.5951
Albert Park,44 Draper St,1810000,Greg,,,,,,,Footscray Lot,710000
Albert Park,2 Dundas Pl,2615000,Cayzer,,,,,,,Forest Hill,983000
Albert Park,23 Finlay St,2100000,Greg,,,,,,,Frankston,640635.7143
Albert Park,31 Richardson St,1300000,hockingstuart,,,,,,,Frankston North,512500
Albert Park,4a Gatehouse La,1370000,Greg,,,,,,,Frankston South,1039400
Albert Park,60 Brooke St,1000000,Cayzer,,,,,,,Gardenvale,1005428.571
Albert Park,70 Barrett St,2575000,Greg,,,,,,,Gisborne,623545.4545
Albert Park,65 Graham St,1322500,Greg,,,,,,,Gladstone Park,659145.8333
Albert Park,364 Montague St,1562500,Greg,,,,,,,Glen Huntly,710881.5789
Albert Park,86 Mills St,2000000,RT,,,,,,,Glen Iris,1553959.036
Albert Park,129 Kerferd Rd,1900000,Greg,,,,,,,Glen Waverley,1309315.698
Albert Park,97 Page St,3010000,Greg,,,,,,,Glenroy,643129.0508
Albert Park,55 Withers St,2800000,Cayzer,,,,,,,Gowanbrae,694859.375
Albert Park,10/140 Kerferd Rd,647000,Greg,,,,,,,Greensborough,822519.2308
Albert Park,55 Merton St,2100000,Marshall,,,,,,,Greenvale,729041.6667
Albert Park,49 Page St,2000000,Marshall,,,,,,,Hadfield,677814.5479
Albert Park,13/52 Moubray St,442500,Marshall,,,,,,,Hallam,780900
Albert Park,115 Page St,4735000,Marshall,,,,,,,Hampton,1613739.521
Albert Park,32 Page St,1340000,Greg,,,,,,,Hampton East,1065017.241
Albert Park,34 Richardson St,1801000,hockingstuart,,,,,,,Hampton Park,577600
Albert Park,2b Dundas Pl,1532000,Chisholm,,,,,,,Hawthorn,1242632.609
Albert Park,22 Greig St,3755000,Greg,,,,,,,Hawthorn East,1431684.612
Albert Park,27 Barrett St,2140000,Greg,,,,,,,Healesville,650000
Albert Park,3 Faussett St,1810000,Marshall,,,,,,,Heatherton,875000
Albert Park,44 Greig St,1750000,Marshall,,,,,,,Heathmont,940785.7143
Albert Park,6 Brooke St,980000,Greg,,,,,,,Heidelberg,928758.3333
Albert Park,227a Danks St,2030000,hockingstuart,,,,,,,Heidelberg Heights,754110.7143
Albert Park,17 Reed St,1740000,Marshall,,,,,,,Heidelberg West,650149.4186
Albert Park,74 Bridport St,2800000,Buxton,,,,,,,Highett,1188284.091
Albert Park,9 Durham St,985000,Marshall,,,,,,,Hillside,660761.6667
Alphington,6 Smith St,2000000,Brace,,,,,,,Hoppers Crossing,547324.6154
Alphington,5/6 Yarralea St,1110000,Jellis,,,,,,,Hughesdale,1068870
Alphington,136A Fulham Rd,1492000,Jellis,,,,,,,Huntingdale,988600
Alphington,1/9 Roemer Cr,480000,Miles,,,,,,,Hurstbridge,695000
Alphington,2/21 Fulham Rd,1304000,Holland,,,,,,,Ivanhoe,1210379.845
Alphington,44 Shiers St,1717500,Collins,,,,,,,Ivanhoe East,1789588.235
Alphington,83 Fulham Rd,2840000,Nelson,,,,,,,Jacana,514514.2857
Alphington,3/19 Harker St,525500,Miles,,,,,,,Kealba,572312.5
Alphington,4/2 Miller St,805000,Miles,,,,,,,Keilor,798541.6667
Alphington,2/5 Yarana Rd,465000,McGrath,,,,,,,Keilor Downs,659764.04
Alphington,69 Lucerne Cr,1480000,Nelson,,,,,,,Keilor East,824056.051
Alphington,815 Heidelberg Rd,2000000,hockingstuart,,,,,,,Keilor Lodge,613333.3333
Alphington,44 Naroon Rd,1540000,Nelson,,,,,,,Keilor Park,669034.4828
Alphington,1/17 Rex Av,590000,Nelson,,,,,,,Kensington,809272.1192
Alphington,3/98 Grange Rd,820000,Nelson,,,,,,,Kew,1799112.245
Alphington,10 Bennett St,1830000,Nelson,,,,,,,Kew East,1658412.162
Alphington,38 Bennett St,2100000,Nelson,,,,,,,Keysborough,833833.3333
Alphington,2c Hamilton St,865000,hockingstuart,,,,,,,Kilsyth,771571.4286
Alphington,5/5 Yarana Rd,390000,Nelson,,,,,,,Kings Park,548000
Alphington,7/7 Chandler Hwy,650000,Brace,,,,,,,Kingsbury,710684.2632
Alphington,1/14 Fulham Rd,512000,Love,,,,,,,Kingsville,847759.5745
Alphington,17 Lowther St,1361000,Collins,,,,,,,Knoxfield,972833.3333
Alphington,13a Fulham Rd,1310000,Jellis,,,,,,,Kooyong,1563500
Alphington,32/23 Coate Av,570000,Thomas,,,,,,,Kurunjang,351583.3333
Alphington,22 Lowther St,1165000,Barry,,,,,,,Lalor,631979.1667
Alphington,6/11 Broomfield Av,530000,Jellis,,,,,,,Langwarrin,608166.6667
Alphington,11 Margaret Gr,1900000,McGrath,,,,,,,Laverton,590000
Alphington,6 Naroon Rd,1485000,McGrath,,,,,,,Lilydale,895000
Alphington,42 Shiers St,1950000,Jellis,,,,,,,Lower Plenty,821571.4286
Altona,158 Queen St,520000,Greg,,,,,,,Lynbrook,597500
Altona,59 Bracken Gr,1525000,Greg,,,,,,,MacLeod,827717.3913
Altona,1/123 Blyth St,720000,hockingstuart,,,,,,,Maidstone,706892.8571
Altona,4 Blyth St,1120000,Barlow,,,,,,,Malvern,1903271.739
Altona,20 Linnet St,780000,Sweeney,,,,,,,Malvern East,1483482.231
Altona,29 Rose St,1780000,Greg,,,,,,,Maribyrnong,821788.274
Altona,1/170 Blyth St,630000,Barlow,,,,,,,McKinnon,1535553.333
Altona,5/35 Grieve Pde,406000,hockingstuart,,,,,,,Meadow Heights,486583.3333
Altona,156 Maidstone St,660000,Greg,,,,,,,Melbourne,697000
Altona,11 Keeshan Ct,683500,Greg,,,,,,,Melton,420718.75
Altona,1/4 Deavey Ct,540000,hockingstuart,,,,,,,Melton South,375467.3913
Altona,1/136 Queen St,580000,Barlow,,,,,,,Melton West,431833.3333
Altona,173 Queen St,1335000,hockingstuart,,,,,,,Mentone,896130.9524
Altona,1/265 Queen St,800000,hockingstuart,,,,,,,Mernda,617454.5455
Altona,3/26 Grieve Pde,510000,Village,,,,,,,Mickleham,485000
Altona,261 Queen St,1070000,Barlow,,,,,,,Middle Park,2076658.537
Altona,4/5 Rose St,425000,hockingstuart,,,,,,,Mill Park,642759.6667
Altona,1/60 David St,605000,Jas,,,,,,,Mitcham,973597.7778
Altona,1A Merritt Ct,705000,hockingstuart,,,,,,,Monbulk,720000
Altona,4/31 Millers Rd,391000,Greg,,,,,,,Mont Albert,1519916.667
Altona,111/112 Pier St,440000,hockingstuart,,,,,,,Montmorency,877324
Altona,24 Wren St,845000,hockingstuart,,,,,,,Montrose,735000
Altona,54 Seves St,766000,Williams,,,,,,,Moonee Ponds,1109342.045
Altona,1/152 Blyth St,743000,Gunn&Co,,,,,,,Moorabbin,975740.3846
Altona,2/6 Galvin St,650000,Williams,,,,,,,Mooroolbark,742323.5294
Altona,4/57 Blyth St,730000,Barlow,,,,,,,Mordialloc,999532.2581
Altona,10 Wilga Av,916500,hockingstuart,,,,,,,Mount Evelyn,567500
Altona,164 Maidstone St,635000,Sweeney,,,,,,,Mount Waverley,1365932.632
Altona,3/25 Rayner St,620000,hockingstuart,,,,,,,Mulgrave,1140444.444
Altona,3/46 Sargood St,447000,Burnham,,,,,,,Murrumbeena,1017576.523
Altona,1/57 Blyth St,730000,Barlow,,,,,,,Narre Warren,641000
Altona,22 Fenfield St,678000,hockingstuart,,,,,,,New Gisborne,870000
Altona,5/8 David St,580000,Biggin,,,,,,,Newport,1029591.195
Altona,1/28 Seves St,712000,hockingstuart,,,,,,,Niddrie,957200.9804
Altona,27 McIntyre Dr,840000,Greg,,,,,,,Noble Park,628815.7895
Altona,4 Boyd St,980000,Barlow,,,,,,,North Melbourne,870496.7263
Altona,5a Emu Av,1000000,Barlow,,,,,,,North Warrandyte,1226000
Altona,12 Spear Ct,605100,hockingstuart,,,,,,,Northcote,1209839.876
Altona,185 Queen St,880000,Barlow,,,,,,,Notting Hill,991916.6667
Altona,3/20 Mulga St,577000,Williams,,,,,,,Nunawading,990928.5714
Altona,51 Millers Rd,1030000,Barlow,,,,,,,Oak Park,809338.1705
Altona,2/119 Railway St N,605000,Barlow,,,,,,,Oakleigh,1079616.667
Altona,12 Ransom Av,685000,Barlow,,,,,,,Oakleigh East,1119000
Altona,24 McIntyre Dr,753000,Barlow,,,,,,,Oakleigh South,1001265.717
Altona,104 Maidstone St,857000,hockingstuart,,,,,,,Officer,559000
Altona,49 Bent St,1500000,Barlow,,,,,,,Ormond,1115740.196
Altona,5/57 Blyth St,730000,Barlow,,,,,,,Pakenham,485166.6667
Altona,15 Kookaburra St,900000,Sweeney,,,,,,,Parkdale,1105554.878
Altona,219 Civic Pde,740000,Greg,,,,,,,Parkville,1340094.737
Altona,3 Curtin Ct,931000,Sweeney,,,,,,,Pascoe Vale,754394.0529
Altona,2/60 David St,535600,Compton,,,,,,,Patterson Lakes,670000
Altona North,45 Hearn St,1085000,FN,,,,,,,Plenty,942000
Altona North,4 Knapp St,781000,Jas,,,,,,,Plumpton,625500
Altona North,103 Sixth Av,857500,hockingstuart,,,,,,,Point Cook,660551.8519
Altona North,80A Hansen St,960000,Sweeney,,,,,,,Port Melbourne,1243275.51
Altona North,21 Hatherley Gr,750000,Jas,,,,,,,Prahran,1129800
Altona North,3/66 Marion St,421000,hockingstuart,,,,,,,Preston,864422.2372
Altona North,153 Mills St,1405000,Sweeney,,,,,,,Princes Hill,1753666.667
Altona North,33 Carthy St,683000,FN,,,,,,,Reservoir,678812.1072
Altona North,16 Harris St,623000,Sweeney,,,,,,,Richmond,1077620.871
Altona North,1/5 Little St,720000,Greg,,,,,,,Riddells Creek,892250
Altona North,58a Clematis Av,780000,hockingstuart,,,,,,,Ringwood,944462.9259
Altona North,1/77 Hansen St,720000,hockingstuart,,,,,,,Ringwood East,948555.5556
Altona North,21 Joel Av,705000,Village,,,,,,,Ringwood North,930153.8462
Altona North,1/95 Mills St,588000,Williams,,,,,,,Ripponlea,786208.3333
Altona North,2/5 Stapley Cr,720000,hockingstuart,,,,,,,Rockbank,340000
Altona North,5 Binns St,710000,Village,,,,,,,Rosanna,969643.617
Altona North,2/9 First Av,550000,RT,,,,,,,Rowville,897237.5
Altona North,1/28 Irwin Av,640000,hockingstuart,,,,,,,Roxburgh Park,509188
Altona North,3/49 Misten Av,537500,hockingstuart,,,,,,,Sandhurst,655000
Altona North,25 Allan St,875000,Jas,,,,,,,Sandringham,1608075.758
Altona North,9 Fourth Av,800000,Barlow,,,,,,,Scoresby,958225
Altona North,11a Edward Av,713500,Greg,,,,,,,Seabrook,592500
Altona North,21 Hatherley Gr,700000,Jas,,,,,,,Seaford,719604.1667
Altona North,1B Paproth Gr,551000,RT,,,,,,,Seaholme,1047500
Altona North,7 Seventh Av,685000,Greg,,,,,,,Seddon,973412.1622
Altona North,1/256 Mason St,640000,Williams,,,,,,,Silvan,1077500
Altona North,21 Allan St,650000,Williams,,,,,,,Skye,597849
Altona North,56a First Av,925000,RT,,,,,,,South Kingsville,747855.7692
Altona North,85a First Av,670000,Greg,,,,,,,South Melbourne,1359280.374
Altona North,22 Joel Av,680000,Hunter,,,,,,,South Morang,609437.5
Altona North,11 Mahon Av,765000,Greg,,,,,,,South Yarra,1011147.276
Altona North,2/36 May St,675000,hockingstuart,,,,,,,Southbank,616132.6531
Altona North,11 Beevers St,708000,Greg,,,,,,,Spotswood,930538.4615
Altona North,2/10 Cleghorn Av,656000,Gunn&Co,,,,,,,Springvale,808218.75
Altona North,2 Edward Av,883000,hockingstuart,,,,,,,Springvale South,766666.6667
Altona North,10 Murphy St,965000,Gunn&Co,,,,,,,St Albans,589805.2632
Altona North,128 Second Av,870000,Hunter,,,,,,,St Helena,963400
Altona North,5/24 Valerian Av,681000,Village,,,,,,,St Kilda,843943.3884
Altona North,2/31 Cooper Av,522500,hockingstuart,,,,,,,Strathmore,1187485.714
Altona North,9 Begonia Av,972000,Sweeney,,,,,,,Strathmore Heights,843409
Altona North,1/36 Amaranth Av,590000,RT,,,,,,,Sunbury,526153.8462
Altona North,3/36 Amaranth Av,450000,RT,,,,,,,Sunshine,707952.5474
Altona North,61 Cooper Av,765000,Greg,,,,,,,Sunshine North,631834.3434
Altona North,10 Freemans St,750000,Greg,,,,,,,Sunshine West,574444.6281
Altona North,16 Beevers St,680000,Sweeney,,,,,,,Surrey Hills,1535328.947
Altona North,150A McIntosh Rd,510000,Williams,,,,,,,Sydenham,569166.6667
Altona North,21 Neal Ct,770000,hockingstuart,,,,,,,Tarneit,517250
Altona North,31 Duosa Rd,923000,Greg,,,,,,,Taylors Hill,652272.7273
Altona North,252 Millers Rd,693000,Raine&Horne,,,,,,,Taylors Lakes,711400
Altona North,1/156 Chambers Rd,620000,Hunter,,,,,,,Tecoma,855000
Altona North,19 Cleghorn Av,800000,Buxton,,,,,,,Templestowe,1522733.333
Altona North,2 Gadsden St,728500,Jas,,,,,,,Templestowe Lower,1162547.794
Altona North,24 Hansen St,931000,hockingstuart,,,,,,,The Basin,584550
Altona North,4 Prismall St,988000,Sweeney,,,,,,,Thomastown,635361.1111
Altona North,1/21 Freemans Rd,590000,RT,,,,,,,Thornbury,943449.6667
Altona North,122 McIntosh Rd,590000,Village,,,,,,,Toorak,1642382.401
Altona North,35 May St,610000,RT,,,,,,,Travancore,1010450
Altona North,6 Hill St,815000,hockingstuart,,,,,,,Truganina,495668.75
Altona North,84 May St,970000,Greg,,,,,,,Tullamarine,579307.6923
Altona North,81 Fifth Av,840000,hockingstuart,,,,,,,Upwey,575000
Altona North,23 Huxtable Av,840000,Sweeney,,,,,,,Vermont,1022093.75
Altona North,155 Chambers Rd,760000,Hunter,,,,,,,Vermont South,1186470.588
Altona North,61a First Av,852500,RT,,,,,,,Viewbank,952828.7037
Altona North,268d Mason St,847500,RT,,,,,,,Wallan,366000
Altona North,5 Cresser St,1200000,RT,,,,,,,Wantirna,950823.5294
Altona North,1/33 Fifth Av,630000,RT,,,,,,,Wantirna South,1082500
Altona North,107 McIntosh Rd,700000,Hunter,,,,,,,Warrandyte,1118000
Altona North,10 Knapp St,625000,Hunter,,,,,,,Waterways,1248500
Altona North,4/221 Blackshaws Rd,292000,Jas,,,,,,,Watsonia,751850
Altona North,56a MacDonald Av,640000,hockingstuart,,,,,,,Watsonia North,760818.1818
Altona North,126 Sixth Av,800000,RT,,,,,,,Wattle Glen,1140000
Armadale,8/19 Mercer Rd,599000,Jellis,,,,,,,Werribee,509142.623
Armadale,1/42 Adelaide St,550000,Noel,,,,,,,Werribee South,355000
Armadale,14/71 Denbigh Rd,995000,Marshall,,,,,,,West Footscray,763949.5798
Armadale,4/769 High St,1205000,Jellis,,,,,,,West Melbourne,1027205.128
Armadale,28 Lambeth Av,2675000,Marshall,,,,,,,Westmeadows,603125
Armadale,7 Llaneast St,1939000,Jellis,,,,,,,Wheelers Hill,1211564.706
Armadale,9/55 Northcote Rd,421500,Biggin,,,,,,,Whittlesea,520500
Armadale,1/7 Railway Av,585000,hockingstuart,,,,,,,Williams Landing,532500
Armadale,65 Barkly Av,2050000,Marshall,,,,,,,Williamstown,1292918.033
Armadale,28 Cambridge St,1870000,Hodges,,,,,,,Williamstown North,847145.8333
Armadale,3/16 Fulton St,678000,hockingstuart,,,,,,,Windsor,968568.1818
Armadale,3/20 Mercer Rd,1918000,Jellis,,,,,,,Wollert,538018.75
Armadale,1/77 Wattletree Rd,660000,hockingstuart,,,,,,,Wonga Park,900000
Armadale,12 Willis St,2050000,Marshall,,,,,,,Wyndham Vale,520328.5714
Armadale,8/71 Denbigh Rd,700000,Jellis,,,,,,,Yallambie,827587.8378
Armadale,11/17 Myamyn St,3625000,Jellis,,,,,,,Yarra Glen,620000
Armadale,526 Orrong Rd,3000000,Jellis,,,,,,,Yarraville,967279.6973
Armadale,37 Barkly Av,1930000,Jellis,,,,,,,(blank),
Armadale,553 Dandenong Rd,1525000,Jellis,,,,,,,Grand Total,1056697.461
Armadale,9/19 Mercer Rd,735000,Marshall,,,,,,,,
Armadale,6/26 Mercer Rd,825000,Jellis,,,,,,,,
Armadale,538a Orrong Rd,1586000,RT,,,,,,,,
Armadale,18/41 Kooyong Rd,645000,Marshall,,,,,,,,
Armadale,10 William St,1435000,Jellis,,,,,,,,
Armadale,15/405 Dandenong Rd,280000,hockingstuart,,,,,,,,
Armadale,1/2 Armadale St,400000,hockingstuart,,,,,,,,
Armadale,4/20 Mercer Rd,1780000,Marshall,,,,,,,,
Armadale,8/58 Sutherland Rd,592500,hockingstuart,,,,,,,,
Armadale,40 New St,1210000,Marshall,,,,,,,,
Armadale,35 Northcote Rd,2801000,Marshall,,,,,,,,
Armadale,7/53 Wattletree Rd,390000,Jellis,,,,,,,,
Armadale,791 High St,1800000,RT,,,,,,,,
Armadale,25 Llaneast St,2200000,Jellis,,,,,,,,
Armadale,8/569 Orrong Rd,324000,Jellis,,,,,,,,
Armadale,367 Dandenong Rd,5525000,Marshall,,,,,,,,
Armadale,34a Rose St,1125000,RT,,,,,,,,
Armadale,42 Rose St,2250000,Marshall,,,,,,,,
Armadale,12 Auburn Gr,2360000,hockingstuart,,,,,,,,
